old url,new url,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_bac_classification_papers.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_bc_consolidated_budgeting.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_controlframework_decc.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_devolved_assemblies.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_spend_plancontrol.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_coins_about.htm,https://www.gov.uk/government/publications/oscar-publishing-data-from-the-database,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_coins_data.htm,https://www.gov.uk/government/publications/oscar-publishing-data-from-the-database,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_coins_faqs.htm,https://www.gov.uk/government/publications/oscar-publishing-data-from-the-database,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_coins_qualityassurance.htm,https://www.gov.uk/government/publications/oscar-publishing-data-from-the-database,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/8317.htm,https://www.gov.uk/government/announcements?departments%5B%5D=hm-treasury,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_clear_line_of_sight_intro.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_managing_taxpayers_money.htm,https://www.gov.uk/government/policies/spending-taxpayers-money-responsibly,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_reporting_centralgovernment.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.gov.co.uk/government/publications/standing-guidance-for-departments-on-completion-printing-laying-and-publication-of-departments-annual-reports-and-accounts,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_financialsystem_bio.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
